ReserveStatus,Male,Price,CouponDiscount,Domestic,VIPStatus,TripReason,Vehicle,Cancel,LeadTime,IsWeekend,DiscountRatio,BookingMonth,DepartureMonth,BookingWeekday,DepartureWeekday,DepartureHour,BookingHour,FromFreq,ToFreq
5,0,24.32,0.0,1,True,Int,Bus,1,33087.137,0,0.0,9,9,3,3,10,1,14641,88
3,0,22.09,0.0,1,True,Work,Bus,0,13392.923,0,0.0,6,6,2,2,13,9,320,1327
3,1,36.69,0.0,1,True,Work,Bus,0,33780.32,1,0.0,9,9,5,5,22,13,14641,1510
3,1,38.92,0.0,1,True,Work,Bus,0,256193.323,1,0.0,7,7,3,6,22,23,14641,189
3,1,46.62,0.0,1,True,Int,Bus,0,271398.15,1,0.0,8,8,2,5,18,14,74,15161
3,1,63.85,0.0,1,True,Work,Bus,0,19419.94,0,0.0,7,7,0,0,18,13,14641,177
2,1,41.41,0.0,1,Unknown,Int,Train,0,76345.497,0,0.0,9,9,1,2,9,12,5293,15161
3,0,44.59,0.0,1,True,Int,Bus,0,32166.08,0,0.0,9,9,3,3,21,12,284,3607
3,1,24.73,0.15,1,True,Int,Bus,0,220784.93,1,0.006065507480792559,9,10,2,5,12,22,14641,335
2,0,31.48,0.0,1,Unknown,Int,Train,0,1042702.683,0,0.0,8,9,6,4,7,6,5293,15161
3,1,37.3,0.0,1,True,Work,Bus,0,68871.793,0,0.0,10,10,6,0,15,19,284,1510
2,1,23.48,0.0,1,Unknown,Work,Train,0,529311.607,0,0.0,7,8,1,0,20,17,1759,15161
2,1,45.9,0.0,1,Unknown,Work,Train,0,22254.263,0,0.0,2,2,3,3,16,9,14641,2671
3,1,40.95,0.0,1,True,Int,Bus,0,341452.903,0,0.0,10,11,4,1,22,23,1428,446
3,0,38.92,0.0,1,True,Int,Bus,0,1611380.593,0,0.0,7,7,6,4,14,22,222,15161
5,1,21.89,0.0,1,True,Int,Bus,1,1462182.483,0,0.0,7,8,4,0,9,11,883,15161
2,1,34.0,0.0,1,Unknown,Work,Train,0,1231172.66,0,0.0,8,8,2,3,4,22,1759,15161
3,1,58.38,0.0,1,True,Work,Bus,0,581165.207,1,0.0,8,8,5,5,13,20,883,2671
4,1,55.83,0.0,1,Unknown,Int,Train,1,776793.56,1,0.0,4,4,3,5,14,14,5293,1311
2,0,37.12,0.0,1,Unknown,Int,Train,0,1041458.547,0,0.0,4,4,5,3,23,22,5293,15161
3,1,51.08,0.0,1,True,Work,Bus,0,256539.843,1,0.0,8,8,2,5,20,20,3394,15161
3,1,39.53,0.0,1,True,Work,Bus,0,518243.18,0,0.0,9,9,5,4,13,13,74,3607
4,1,61.09,0.0,1,Unknown,Int,Train,1,1144274.01,1,0.0,4,4,6,5,17,11,5293,3607
2,0,41.36,0.0,1,Unknown,Int,Train,0,1992864.11,0,0.0,5,6,0,2,15,13,14641,6142
3,1,24.73,0.0,1,True,Work,Bus,0,64503.86,0,0.0,6,6,1,2,8,14,4860,15161
2,1,41.41,0.0,1,Unknown,Int,Train,0,2374650.833,1,0.0,9,10,6,6,0,12,5293,15161
3,1,23.92,0.0,1,True,Work,Bus,0,131657.4,1,0.0,3,3,4,6,11,22,14641,43
2,1,61.69,0.0,1,Unknown,Int,Train,0,173063.97,1,0.0,9,9,4,6,14,14,233,15161
5,0,62.03,0.0,1,True,Work,Bus,1,460020.857,1,0.0,9,10,0,5,11,3,53,2671
3,1,31.62,0.0,1,True,Int,Bus,0,445707.637,0,0.0,3,3,2,0,16,12,67,3607
3,1,44.8,0.0,1,True,Work,Bus,0,4065.803,1,0.0,10,10,5,5,19,17,1072,3607
2,0,59.66,0.0,1,Unknown,Int,Train,0,974307.81,0,0.0,9,10,5,2,21,15,14641,6142
3,0,39.63,0.0,1,True,Int,Bus,0,53346.3,0,0.0,6,6,2,3,10,19,1428,3607
2,1,25.88,0.0,1,Unknown,Int,Train,0,258872.54,1,0.0,8,8,2,5,19,19,1759,15161
3,0,21.89,0.0,1,True,Work,Bus,0,151170.673,0,0.0,7,7,2,4,16,22,883,15161
4,0,43.01,0.0,1,Unknown,Int,Train,1,685155.227,1,0.0,8,9,5,6,16,17,1021,6142
3,0,23.92,0.0,1,True,Work,Bus,0,597082.507,1,0.0,3,4,5,5,11,13,3394,1237
4,0,47.73,0.0,1,Unknown,Int,Train,1,129920.073,0,0.0,3,3,3,4,22,9,14641,6142
3,1,24.73,2.23,1,True,Int,Bus,0,77712.197,0,0.09017387788111605,8,8,1,1,22,0,14641,3607
5,1,36.69,0.0,1,True,Work,Bus,1,466199.147,0,0.0,10,10,4,2,20,11,14641,1510
4,1,33.12,0.0,1,Unknown,Int,Train,1,2391513.273,1,0.0,2,3,6,6,15,23,5293,15161
3,1,40.54,0.0,1,True,Work,Bus,0,566890.123,0,0.0,10,10,1,0,21,7,3394,1311
2,1,37.6,0.0,1,Unknown,Int,Train,0,307420.27,1,0.0,8,8,2,6,11,22,1428,6142
2,1,31.48,0.0,1,Unknown,Work,Train,0,259834.12,1,0.0,9,9,3,6,14,13,5293,15161
4,1,31.48,0.0,1,Unknown,Int,Train,1,1434135.24,0,0.0,6,7,5,1,14,23,5293,15161
2,1,26.08,0.0,1,Unknown,Work,Train,0,49688.173,0,0.0,4,4,0,0,23,9,14641,6142
3,1,31.01,0.0,1,True,Work,Bus,0,21305.43,0,0.0,4,4,4,4,23,17,3394,1311
4,1,41.41,0.0,1,Unknown,Int,Train,1,123446.593,0,0.0,9,9,2,4,0,14,5293,15161
3,0,31.62,0.0,1,True,Work,Bus,0,159812.92,0,0.0,4,4,6,1,20,23,4860,90
2,0,38.93,0.0,1,Unknown,Work,Train,0,22858.713,0,0.0,8,8,3,3,13,7,1399,15161
3,1,24.73,0.0,1,True,Work,Bus,0,6209.407,0,0.0,9,9,1,2,0,22,14641,3607
3,1,39.53,0.0,1,True,Work,Bus,0,98466.2,1,0.0,4,4,5,6,16,12,3394,15161
3,1,29.59,0.0,1,True,Work,Bus,0,552460.137,1,0.0,10,10,0,6,23,13,449,15161
2,1,36.37,0.0,1,Unknown,Int,Train,0,442210.403,1,0.0,6,6,0,5,20,17,14641,1327
3,1,52.2,0.0,1,True,Work,Bus,0,323767.82,0,0.0,10,11,0,4,14,20,1428,15161
2,0,45.52,1.54,1,Unknown,Int,Train,0,1004657.937,0,0.03383128295254833,8,8,2,0,11,20,117,6142
3,1,22.3,0.0,1,True,Work,Bus,0,46312.05,0,0.0,2,2,3,4,8,19,3394,330
3,1,26.15,0.0,1,True,Int,Bus,0,78506.533,0,0.0,10,10,6,0,12,14,14641,127
3,1,27.06,0.0,1,True,Work,Bus,0,80724.537,0,0.0,5,5,2,3,11,13,4860,2671
2,0,41.36,0.0,1,Unknown,Int,Train,0,1413357.527,1,0.0,6,7,4,6,15,7,14641,6142
2,1,51.44,0.0,1,Unknown,Work,Train,0,180300.127,0,0.0,9,9,2,4,15,13,1428,15161
3,1,53.72,0.0,1,True,Work,Bus,0,73445.117,0,0.0,9,9,6,0,7,10,69,571
3,1,38.92,0.0,1,True,Work,Bus,0,35366.32,0,0.0,8,8,0,1,8,22,222,15161
2,1,26.74,0.0,1,Unknown,Work,Train,0,70151.733,0,0.0,8,8,4,4,21,2,14641,1510
2,1,31.48,0.0,1,Unknown,Int,Train,0,904657.333,0,0.0,6,6,5,2,8,20,14641,6142
2,1,41.41,0.0,1,Unknown,Int,Train,0,180420.59,0,0.0,10,11,0,2,17,14,14641,6142
2,0,43.0,0.0,1,Unknown,Int,Train,0,1011147.82,1,0.0,7,7,1,6,13,20,1399,15161
3,1,36.69,0.0,1,True,Work,Bus,0,129392.903,0,0.0,5,5,0,1,20,8,4860,1237
3,0,31.22,0.0,1,True,Int,Bus,0,52621.04,0,0.0,7,7,0,1,11,20,1399,2671
2,0,44.65,0.0,1,Unknown,Int,Train,0,1211428.417,0,0.0,6,6,2,2,22,21,5293,15161
2,1,29.86,0.0,1,Unknown,Work,Train,0,173088.943,1,0.0,5,5,4,6,23,23,5293,15161
3,1,34.26,1.41,1,True,Work,Bus,0,42057.76,1,0.04115586690017513,8,8,5,5,23,11,1021,1327
3,0,24.73,0.0,1,True,Work,Bus,0,158250.043,1,0.0,10,10,3,5,8,12,14641,335
3,1,44.59,0.0,1,True,Work,Bus,0,186573.457,0,0.0,7,8,6,1,12,8,275,1311
2,0,31.48,0.0,1,Unknown,Int,Train,0,803924.527,0,0.0,8,9,6,1,23,16,14641,6142
3,1,40.95,0.0,1,False,Work,Bus,0,151454.417,0,0.0,7,7,2,4,9,14,14641,90
5,1,21.89,0.0,1,True,Int,Bus,1,476568.393,1,0.0,7,7,0,5,14,1,14641,340
2,0,54.84,0.0,1,Unknown,Work,Train,0,595321.243,1,0.0,5,5,5,5,17,19,1063,15161
2,0,45.52,0.0,1,Unknown,Int,Train,0,1975032.347,0,0.0,9,10,6,1,11,14,117,6142
2,1,56.41,0.0,1,Unknown,Int,Train,0,479750.303,0,0.0,5,5,2,1,1,12,5293,446
2,1,42.18,0.0,1,Unknown,Work,Train,0,919315.027,1,0.0,3,4,2,6,6,15,5293,15161
3,1,58.78,0.53,1,True,Work,Bus,0,148389.243,1,0.009016672337529773,7,7,4,6,14,20,3394,846
2,0,48.09,0.0,1,Unknown,Int,Train,0,606209.71,0,0.0,4,4,1,1,21,21,14641,6142
3,0,37.7,0.0,1,True,Int,Bus,0,55752.183,0,0.0,6,6,2,3,10,18,3394,123
3,1,26.35,0.0,1,True,Int,Bus,0,67298.993,0,0.0,10,10,1,2,6,11,5,2671
3,1,24.73,0.0,1,True,Int,Bus,0,122447.36,0,0.0,7,7,2,4,2,16,4860,15161
2,0,60.48,0.0,1,Unknown,Int,Train,0,217120.413,0,0.0,10,10,0,2,21,8,5293,15161
3,1,29.8,0.0,1,True,Work,Bus,0,9013.953,0,0.0,11,11,1,1,21,18,14641,1510
3,1,33.45,0.0,1,True,Work,Bus,0,46866.613,0,0.0,4,4,4,4,23,10,440,15161
3,0,36.49,0.0,1,True,Work,Bus,0,25206.423,1,0.0,6,6,5,5,15,7,427,998
3,1,40.54,0.0,1,True,Work,Bus,0,143012.41,0,0.0,9,9,2,4,9,17,3394,1311
3,0,25.54,0.0,1,True,Int,Bus,0,123029.467,0,0.0,8,8,2,4,9,23,1759,2671
2,1,43.22,0.0,1,Unknown,Int,Train,0,982069.697,0,0.0,5,5,4,1,23,15,5293,15161
2,0,60.17,0.0,1,Unknown,Int,Train,0,29442.043,0,0.0,10,10,2,3,6,22,5293,1327
5,1,29.59,0.0,1,True,Work,Bus,1,216708.2,0,0.0,7,7,2,4,23,11,14641,442
5,1,21.89,0.0,1,True,Work,Bus,1,177093.603,0,0.0,7,7,1,3,15,14,91,15161
2,1,38.46,0.0,1,Unknown,Work,Train,0,96268.597,1,0.0,9,9,4,5,18,16,14641,1327
2,0,36.37,0.0,1,Unknown,Int,Train,0,384034.35,1,0.0,6,6,2,6,20,9,14641,1327
3,1,24.73,0.0,1,True,Work,Bus,0,656404.733,0,0.0,7,7,3,4,12,22,14641,521
2,1,25.44,0.0,1,Unknown,Int,Train,0,880866.827,0,0.0,9,9,6,3,4,23,14641,846
2,1,57.05,0.0,1,Unknown,Work,Train,0,4825.423,0,0.0,4,4,1,1,16,14,14641,2671
3,1,36.08,0.0,1,True,Int,Bus,0,530748.66,0,0.0,3,3,3,2,18,14,3394,571
3,1,29.8,0.0,1,True,Work,Bus,0,12038.933,1,0.0,7,7,6,6,17,14,14641,330
3,1,30.61,0.0,1,True,Work,Bus,0,4216.63,1,0.0,2,2,6,6,22,20,4860,846
3,0,61.82,0.0,1,True,Work,Bus,0,627100.477,1,0.0,9,10,5,5,16,10,3394,340
2,0,35.72,0.0,1,Unknown,Int,Train,0,1493862.187,0,0.0,4,5,0,3,22,15,5293,15161
2,0,54.1,0.0,1,Unknown,Int,Train,0,1862624.967,0,0.0,5,6,1,1,23,10,5293,15161
2,1,26.74,0.0,1,Unknown,Work,Train,0,190437.097,0,0.0,10,10,0,2,21,17,14641,1510
2,1,51.44,0.0,1,Unknown,Work,Train,0,173933.043,0,0.0,9,9,2,4,15,14,14641,1311
2,0,41.41,0.0,1,Unknown,Int,Train,0,161419.123,0,0.0,9,9,0,2,12,15,5293,15161
3,1,29.59,0.0,1,True,Work,Bus,0,500387.217,0,0.0,8,8,2,1,14,19,449,15161
2,1,35.51,0.0,1,Unknown,Work,Train,0,100569.127,0,0.0,7,7,2,3,20,16,14641,20
3,1,52.2,0.0,1,True,Work,Bus,0,221993.023,0,0.0,10,10,1,4,9,19,1428,15161
3,0,45.61,0.0,1,True,Work,Bus,0,442031.59,0,0.0,9,9,3,1,17,14,168,15161
3,0,21.89,0.0,1,True,Work,Bus,0,263251.63,0,0.0,4,4,1,4,13,12,39,15161
3,1,26.35,0.0,1,True,Work,Bus,0,272565.73,0,0.0,9,9,6,2,11,7,275,2671
3,0,38.31,0.0,1,False,Work,Bus,0,89447.243,1,0.0,7,7,5,6,23,23,883,15161
3,1,26.35,0.0,1,True,Int,Bus,0,73294.703,0,0.0,7,7,0,1,13,17,4860,629
3,1,52.2,0.0,1,True,Work,Bus,0,1363578.33,1,0.0,5,6,4,6,17,22,1428,15161
3,1,60.4,0.0,1,True,Work,Bus,0,175316.327,0,0.0,10,10,1,3,17,16,123,15161
2,1,50.68,0.0,1,Unknown,Work,Train,0,108286.863,0,0.0,7,7,0,2,2,19,14641,846
3,0,24.73,0.0,1,True,Work,Bus,0,311347.66,0,0.0,5,6,1,4,16,1,14641,3607
3,0,39.53,0.0,1,True,Work,Bus,0,103760.77,0,0.0,10,10,3,4,18,13,469,257
4,0,38.93,0.0,1,Unknown,Int,Train,1,1552573.577,0,0.0,7,8,3,0,18,18,14641,1237
2,1,57.05,0.0,1,Unknown,Work,Train,0,173277.873,0,0.0,4,4,2,4,16,16,14641,2671
3,1,26.76,0.0,1,True,Work,Bus,0,276183.93,1,0.0,5,5,2,5,16,11,3394,3607
4,1,41.41,0.0,1,Unknown,Int,Train,1,1295911.657,1,0.0,7,8,5,6,12,12,5293,15161
3,1,52.7,0.0,1,True,Work,Bus,0,201099.693,0,0.0,8,8,5,0,18,10,440,446
3,0,24.73,0.0,1,True,Work,Bus,0,8362.56,0,0.0,8,8,1,1,12,9,14641,3607
3,1,34.46,0.0,1,True,Work,Bus,0,83806.383,0,0.0,6,6,2,3,22,22,43,15161
3,1,24.73,0.0,1,True,Work,Bus,0,81302.107,0,0.0,10,10,1,2,21,22,14641,330
2,0,30.43,0.0,1,Unknown,Work,Train,0,875492.357,0,0.0,6,7,4,0,19,15,449,15161
2,0,24.89,0.0,1,Unknown,Work,Train,0,638924.66,0,0.0,3,4,3,3,20,11,116,1311
3,0,24.53,0.0,1,True,Work,Bus,0,43388.57,0,0.0,7,7,6,0,6,18,545,15161
3,1,24.73,0.0,1,True,Work,Bus,0,91133.863,0,0.0,5,5,0,1,14,12,70,15161
3,0,27.06,0.0,1,True,Int,Bus,0,681600.02,0,0.0,5,5,1,2,9,11,3394,39
2,0,54.1,0.0,1,Unknown,Int,Train,0,871004.723,1,0.0,10,11,2,5,16,14,14641,6142
4,1,63.65,0.0,1,Unknown,Int,Train,1,176474.73,0,0.0,8,8,6,1,11,10,380,6142
5,1,24.73,0.0,1,True,Work,Bus,1,209599.03,0,0.0,9,9,5,0,23,13,14641,3607
3,1,26.35,0.0,1,True,Work,Bus,0,75884.397,0,0.0,5,5,6,0,8,10,3394,523
5,1,24.73,0.0,1,True,Work,Bus,1,394372.98,0,0.0,10,10,6,4,9,20,4860,15161
2,1,31.48,0.0,1,Unknown,Int,Train,0,767306.547,0,0.0,8,8,5,0,14,16,5293,15161
3,1,42.16,0.0,1,True,Work,Bus,0,41053.847,0,0.0,9,9,2,2,22,11,14641,181
3,1,27.16,0.0,1,True,Work,Bus,0,94816.477,1,0.0,10,10,4,5,15,12,1021,88
2,0,41.41,0.0,1,Unknown,Int,Train,0,676421.517,1,0.0,8,9,5,6,12,16,5293,15161
2,0,37.6,0.0,1,Unknown,Int,Train,0,47740.68,0,0.0,9,9,3,4,1,11,5293,1311
2,1,59.55,0.0,1,Unknown,Int,Train,0,98343.03,1,0.0,8,8,5,6,20,17,117,6142
5,1,26.35,0.0,1,True,Work,Bus,1,137152.363,1,0.0,2,2,5,6,22,8,62,15161
3,1,32.43,0.0,1,True,Int,Bus,0,500354.39,0,0.0,3,3,6,4,21,2,14641,112
3,1,45.61,0.0,1,True,Int,Bus,0,722183.59,0,0.0,7,7,6,0,20,11,275,3607
4,1,54.1,0.0,1,Unknown,Int,Train,1,509608.96,0,0.0,9,10,4,3,16,18,14641,6142
4,0,36.67,0.0,1,Unknown,Int,Train,1,1403487.1,0,0.0,8,9,5,1,0,18,1428,15161
2,1,31.48,0.55,1,Unknown,Int,Train,0,428919.167,1,0.01747141041931385,7,7,1,6,15,15,5293,15161
3,1,55.74,0.0,1,True,Int,Bus,0,603969.477,0,0.0,9,9,3,3,18,18,440,3607
2,0,41.36,0.0,1,Unknown,Int,Train,0,335868.503,1,0.0,10,10,3,6,23,1,5293,15161
2,1,48.09,0.0,1,Unknown,Int,Train,0,2182177.64,0,0.0,3,3,4,1,21,15,14641,6142
4,1,52.76,0.0,1,Unknown,Work,Train,1,1301492.85,0,0.0,7,8,1,2,20,19,1759,15161
2,1,46.05,0.0,1,Unknown,Work,Train,0,164913.22,0,0.0,10,10,2,4,12,14,14641,998
2,0,31.14,0.0,1,Unknown,Work,Train,0,104587.17,0,0.0,4,4,0,1,19,14,14641,1237
3,1,35.47,0.0,1,True,Work,Bus,0,113484.793,0,0.0,7,7,6,0,17,9,320,3607
2,1,25.34,0.0,1,Unknown,Int,Train,0,510087.447,0,0.0,4,4,2,1,18,20,14641,6142
2,1,46.05,0.0,1,Unknown,Work,Train,0,667804.923,1,0.0,7,8,5,6,12,19,1063,15161
3,1,22.3,0.0,1,True,Work,Bus,0,44974.52,0,0.0,6,6,1,2,7,18,1,15161
3,1,26.35,0.0,1,True,Work,Bus,0,52176.293,0,0.0,8,8,1,2,7,16,3394,523
3,0,21.89,0.0,1,True,Work,Bus,0,357388.95,0,0.0,6,6,5,2,14,11,91,15161
3,1,24.73,0.0,1,True,Work,Bus,0,39898.423,0,0.0,10,10,0,0,23,12,4860,15161
2,0,38.45,0.0,1,Unknown,Work,Train,0,28031.627,1,0.0,9,9,5,5,22,14,5293,122
3,1,40.54,0.0,1,True,Work,Bus,0,199920.553,0,0.0,7,7,2,4,21,13,3394,1311
5,1,39.53,0.0,1,True,Work,Bus,1,95938.49,1,0.0,9,9,4,5,20,17,545,1311
2,1,31.95,0.0,1,Unknown,Work,Train,0,737532.853,1,0.0,4,4,5,6,14,1,14641,998
3,1,32.94,0.0,1,True,Work,Bus,0,122943.98,0,0.0,10,10,1,2,10,0,3394,998
2,0,51.9,0.0,1,Unknown,Int,Train,0,3966845.943,0,0.0,7,8,6,2,22,0,5293,15161
3,1,44.59,0.0,1,True,Work,Bus,0,75089.977,1,0.0,6,6,5,6,16,19,1063,3607
2,0,30.43,0.0,1,Unknown,Int,Train,0,504780.297,0,0.0,8,9,2,1,19,22,449,15161
2,0,31.48,0.0,1,Unknown,Int,Train,0,498211.88,0,0.0,8,9,6,4,23,5,14641,6142
3,1,32.23,0.0,1,True,Work,Bus,0,92033.853,0,0.0,6,6,2,3,21,19,1021,330
3,1,21.89,0.0,1,True,Work,Bus,0,231009.377,0,0.0,7,7,1,4,7,15,883,15161
2,0,35.99,0.0,1,Unknown,Work,Train,0,54340.683,0,0.0,6,6,2,3,13,22,24,15161
2,0,63.34,0.0,1,Unknown,Int,Train,0,1998368.66,0,0.0,8,9,5,0,22,19,5293,629
3,1,24.73,0.0,1,True,Work,Bus,0,121451.2,0,0.0,8,8,2,4,0,14,4860,15161
2,1,54.79,0.0,1,Unknown,Work,Train,0,1234995.017,1,0.0,9,10,5,5,14,7,4860,998
3,1,34.05,0.0,1,True,Work,Bus,0,91632.673,1,0.0,6,6,5,6,22,20,1072,15161
3,0,36.69,0.0,1,True,Work,Bus,0,308640.613,0,0.0,9,9,1,4,21,7,1399,3607
2,1,30.36,0.0,1,Unknown,Work,Train,0,26653.17,0,0.0,10,10,1,1,22,15,1759,998
3,1,21.89,0.0,1,True,Work,Bus,0,85625.187,1,0.0,10,10,4,5,23,23,14641,51
2,0,25.18,0.0,1,Unknown,Work,Train,0,1421946.007,0,0.0,5,5,1,4,7,20,5293,15161
2,1,42.33,0.0,1,Unknown,Int,Train,0,724462.803,0,0.0,4,4,6,0,21,12,14641,6142
2,0,25.02,0.0,1,Unknown,Work,Train,0,62610.883,0,0.0,5,5,0,1,3,10,77,15161
2,1,51.44,0.0,1,Unknown,Work,Train,0,1470939.897,0,0.0,9,9,4,0,15,14,1428,15161
3,1,24.73,0.0,1,True,Work,Bus,0,98439.08,1,0.0,6,6,5,6,16,13,4860,15161
2,1,56.51,0.0,1,Unknown,Int,Train,0,3584568.763,0,0.0,7,9,4,3,22,10,63,6142
2,1,35.57,0.0,1,Unknown,Int,Train,0,1661845.65,0,0.0,5,5,6,4,23,17,5293,15161
3,0,29.59,0.0,1,True,Int,Bus,0,229945.677,0,0.0,6,6,0,2,23,8,14641,442
3,0,36.08,0.0,1,True,Work,Bus,0,12717.12,0,0.0,5,5,1,1,16,12,14641,2
3,1,26.76,0.0,1,True,Work,Bus,0,3990.827,0,0.0,10,10,1,1,6,5,3394,3607
3,0,41.15,0.0,1,True,Int,Bus,0,378795.027,0,0.0,8,8,5,2,20,10,4860,59
2,0,39.46,0.0,1,Unknown,Int,Train,0,293372.273,1,0.0,7,7,3,6,22,13,14641,6142
3,1,44.59,0.0,1,True,Work,Bus,0,204559.027,0,0.0,9,9,2,4,15,6,123,1510
3,0,36.49,0.0,1,True,Work,Bus,0,427014.907,1,0.0,10,10,1,6,20,21,4860,1237
3,1,25.74,0.0,1,True,Work,Bus,0,146805.263,0,0.0,3,3,2,4,12,19,213,521
3,0,31.62,0.0,1,True,Work,Bus,0,624396.67,0,0.0,3,3,0,0,20,14,4860,41
5,1,22.3,0.0,1,True,Int,Bus,1,3845.437,0,0.0,8,8,1,1,19,17,14641,30
2,1,41.52,0.0,1,Unknown,Int,Train,0,892522.913,0,0.0,4,4,6,2,20,12,5293,15161
3,1,32.94,0.0,1,True,Work,Bus,0,60379.64,1,0.0,10,10,5,6,8,15,3394,998
5,1,22.3,0.0,1,True,Work,Bus,1,189764.22,1,0.0,3,4,3,5,22,17,469,15161
3,1,31.01,0.0,1,True,Int,Bus,0,1729228.103,1,0.0,8,9,6,5,13,13,32,15161
5,0,34.26,0.0,1,True,Int,Bus,1,1128753.607,1,0.0,7,7,0,6,23,22,14641,1327
3,1,31.62,0.0,1,True,Work,Bus,0,247416.967,0,0.0,4,4,1,4,17,20,3394,89
3,1,23.31,0.0,1,True,Int,Bus,0,127084.347,1,0.0,9,9,5,6,23,11,50,2671
3,0,31.09,0.0,1,True,Work,Bus,0,19012.683,0,0.0,10,10,2,2,23,17,1063,1237
3,1,52.7,0.0,1,True,Int,Bus,0,347351.37,0,0.0,9,9,6,3,15,15,440,1311
2,1,40.86,0.0,1,Unknown,Work,Train,0,192165.413,0,0.0,4,4,2,4,23,18,5293,15161
4,1,31.48,0.0,1,Unknown,Int,Train,1,253217.577,0,0.0,7,7,1,4,8,9,14641,6142
5,1,38.31,0.0,1,False,Int,Plane,0,181745.267,1,0.0,9,9,4,6,11,8,4860,998
3,0,21.89,0.0,1,True,Work,Bus,0,244784.34,1,0.0,10,10,2,5,15,19,883,15161
5,1,50.27,0.0,1,True,Work,Bus,1,7819.347,1,0.0,10,10,5,5,21,18,14641,2671
2,1,44.65,0.0,1,Unknown,Int,Train,0,344663.833,0,0.0,5,5,6,3,16,16,14641,6142
4,1,31.48,0.0,1,Unknown,Work,Train,1,16778.443,1,0.0,8,8,5,5,23,19,14641,6142
3,0,29.8,0.0,1,True,Work,Bus,0,25623.11,1,0.0,10,10,6,6,23,16,469,15161
5,0,36.08,0.0,1,True,Work,Bus,1,25563.097,0,0.0,5,5,1,1,16,8,14641,2
3,1,40.13,0.0,1,True,Int,Bus,0,117550.243,1,0.0,7,7,5,6,10,1,4860,50
3,1,24.73,0.0,1,True,Work,Bus,0,328311.163,1,0.0,8,8,2,6,14,18,4860,15161
2,0,45.06,0.0,1,Unknown,Work,Train,0,26427.263,0,0.0,9,9,2,2,18,11,545,6142
2,1,31.48,0.0,1,Unknown,Work,Train,0,439499.787,0,0.0,10,10,6,4,14,12,5293,15161
3,0,25.54,0.0,1,True,Work,Bus,0,543550.64,1,0.0,5,5,0,6,17,10,1759,2671
2,0,31.48,0.0,1,Unknown,Int,Train,0,1608520.057,0,0.0,6,7,4,2,0,9,14641,6142
2,1,52.76,0.0,1,Unknown,Work,Train,0,1378252.353,0,0.0,8,9,1,3,20,22,1759,15161
2,1,23.48,0.0,1,Unknown,Int,Train,0,515940.41,1,0.0,6,7,6,5,20,21,1759,15161
3,0,28.18,0.0,1,True,Int,Bus,0,80833.293,1,0.0,9,9,5,6,10,11,1021,127
3,1,40.44,0.0,1,True,Int,Bus,0,64335.647,1,0.0,8,8,5,6,10,16,1428,2671
3,0,39.53,0.0,1,True,Work,Bus,0,456379.727,0,0.0,3,4,3,1,21,14,3394,15161
